ID,SCS1,ICAR16,Task_Decontextualized,Task_Replication,Task_FeatureAddition,VibesSum,Essay,LLMExperience,QuizFirst
71,0.83,0.31,0.42,0.56,0.50,0.49,0.79,3.00,FALSE
72,0.58,0.44,0.00,0.56,0.00,0.19,0.72,5.00,FALSE
73,0.67,0.56,0.00,0.22,0.50,0.24,0.70,5.00,FALSE
74,0.92,0.81,0.67,0.56,0.67,0.63,0.69,5.00,FALSE
75,0.75,0.94,0.25,1.00,0.83,0.69,0.93,3.00,FALSE
76,0.67,0.44,0.58,1.00,0.83,0.81,0.69,5.00,FALSE
77,0.33,0.31,0.17,0.56,0.50,0.41,0.80,3.00,TRUE
78,0.58,0.50,0.17,0.67,0.83,0.56,0.75,5.00,TRUE
79,0.17,0.50,0.25,0.56,0.50,0.44,0.77,3.00,TRUE
80,0.33,0.56,0.42,0.00,0.50,0.31,0.65,5.00,TRUE
81,0.25,0.56,0.25,0.56,0.00,0.27,0.75,4.00,TRUE
82,0.50,0.75,0.00,0.00,0.67,0.22,0.73,4.00,TRUE
83,0.33,0.38,0.58,0.33,0.50,0.47,0.76,4.00,TRUE
84,0.67,0.63,0.33,0.33,0.50,0.39,0.78,5.00,TRUE
85,0.25,0.38,0.08,0.22,0.67,0.32,0.72,5.00,TRUE
86,0.83,0.88,0.83,0.67,0.50,0.67,0.82,4.00,TRUE
87,0.25,0.19,0.08,0.00,0.00,0.03,0.58,5.00,TRUE
88,0.50,0.44,0.83,0.56,0.50,0.63,0.71,3.00,TRUE
89,0.67,0.44,0.50,0.44,0.67,0.54,0.73,5.00,TRUE
90,0.83,0.56,0.00,0.00,0.83,0.28,0.83,4.00,FALSE
91,0.42,0.44,0.33,0.11,0.33,0.26,0.71,4.00,FALSE
92,0.50,0.38,0.33,0.78,0.67,0.59,0.80,2.00,FALSE
93,0.42,0.69,0.33,0.00,0.83,0.39,0.73,4.00,FALSE
94,0.75,0.44,0.75,0.67,0.83,0.75,0.78,4.00,FALSE
95,0.75,0.81,0.67,0.00,1.00,0.56,0.97,4.00,FALSE
96,0.50,0.75,0.50,1.00,0.83,0.78,0.81,5.00,FALSE
97,0.42,0.25,0.00,0.22,0.83,0.35,0.64,5.00,FALSE
98,0.67,0.50,0.58,0.00,0.50,0.36,0.64,5.00,FALSE
99,0.33,0.38,0.00,0.44,0.50,0.31,0.72,5.00,FALSE
100,0.75,0.75,0.50,0.56,0.83,0.63,0.71,5.00,FALSE
